CD ,name,party,house/senate,Role,date served since_month,date served since_day,date served since_year,Wiki page,subcommittee 1,subcommittee 1 webpage,subcommittee 2,subcommittee 2 webpage,subcommittee 3,subcommittee 3 webpage,subcommittee 4,subcommittee 4 wepgage
OR2,Greg Walden,R,House,ranking member,January,6th,1999,https://en.wikipedia.org/wiki/Greg_Walden,"ranking member, energy",https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress
CA9,Jerry McNerney,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Jerry_McNerney,"vice chair, energy ",https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
TX33,Marc Veasey,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Marc_Veasey,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
OH5,Robert E. Latta,R,House,member,December,13th,2007,https://en.wikipedia.org/wiki/Bob_Latta,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
AZ1,Tom O'Halleran,D,House,member,January,3rd,2017,https://en.wikipedia.org/wiki/Tom_O%27Halleran,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
NJ6,Frank Pallone,D,House,chair,January,5th,1993,https://en.wikipedia.org/wiki/Frank_Pallone,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress
FL9,Darren Soto,D,House,member,January,3rd,2017,https://en.wikipedia.org/wiki/Darren_Soto,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,,,
TX17,Bill Flores,R,House,member,January,5th,2011,https://en.wikipedia.org/wiki/Bill_Flores,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
OH6,Bill Johnson,R,House,member,January,5th,2011,https://en.wikipedia.org/wiki/Bill_Johnson_(Ohio_politician),energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
WA5,Cathy McMorris Rodgers,R,House,member,January,4th,2005,https://en.wikipedia.org/wiki/Cathy_McMorris_Rodgers,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
VA4,A. Donald McEachin,D,House,member,January,3rd,2017,https://en.wikipedia.org/wiki/Donald_McEachin,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
IL15,John Shimkus,R,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/John_Shimkus,"ranking member, environment and climate change",https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,
GA1,Buddy Carter,R,House,member,January,6th,2015,https://en.wikipedia.org/wiki/Buddy_Carter,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,
CA44,Nanette Diaz Barragan,D,House,member,January,3rd,2017,https://en.wikipedia.org/wiki/Nanette_Barrag%C3%A1n,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,
NM3,Ben Ray Lujan,D,House,member,January,6th,2009,https://en.wikipedia.org/wiki/Ben_Ray_Luj%C3%A1n,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,,,
CA6,Doris Matsui,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Doris_Matsui,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
MT,Greg Gianforte,R,House,member,June,21st,2017,https://en.wikipedia.org/wiki/Greg_Gianforte,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,,,
CA29,Tony Cardenas,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Tony_C%C3%A1rdenas,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,,,
MI12,Debbie Dingell,D,House,member,January,6th,2015,https://en.wikipedia.org/wiki/Debbie_Dingell,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
NC1,G.K. Butterfield,D,House,member,July,21st,2004,https://en.wikipedia.org/wiki/G._K._Butterfield,"vice chair, health",https://energycommerce.house.gov/subcommittees/health-116th-congress,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,
OR5,Kurt Schrader,D,House,member,January,6th,2009,https://en.wikipedia.org/wiki/Kurt_Schrader,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,
VT,Peter Welch,D,House,member,January,4th,2007,https://en.wikipedia.org/wiki/Peter_Welch,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,
IL1,Bobby Rush,D,House,member,January,5th,1993,https://en.wikipedia.org/wiki/Bobby_Rush,"chair, health",https://energycommerce.house.gov/subcommittees/health-116th-congress,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,
MI6,Fred Upton,R,House,member,January,5th,1993,https://en.wikipedia.org/wiki/Fred_Upton,"ranking member, energy",https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,
IN8,Larry Bucshon,R,House,member,January,5th,2011,https://en.wikipedia.org/wiki/Larry_Bucshon,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,
DE,Lisa Blunt Rochester,D,House,member,January,3rd,2017,https://en.wikipedia.org/wiki/Lisa_Blunt_Rochester,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,
NC8,Richard Hudson,R,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Richard_Hudson_(American_politician),energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,
IL2,Robin Kelly,D,House,member,April,9th,2013,https://en.wikipedia.org/wiki/Robin_Kelly,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,
MO7,Billy Long,R,House,member,January,5th,2011,https://en.wikipedia.org/wiki/Billy_Long,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,
CO1,Diana DeGette,D,House,member,January,7th,1997,https://en.wikipedia.org/wiki/Diana_DeGette,"chair, oversight and investigations",https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,,,,
NY9,Yvette Clarke,D,House,vice chair,January,3rd,2013,https://en.wikipedia.org/wiki/Yvette_Clarke,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,,,
IL9,Janice Schakowsky,D,House,member,January,6th,1999,https://en.wikipedia.org/wiki/Jan_Schakowsky,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,,,
WV1,David B. McKinley,R,House,member,January,5th,2011,https://en.wikipedia.org/wiki/David_McKinley,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,
NY20,Paul Tonko,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Paul_Tonko,"chair, environment and climate change",https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,
CA52,Scott Peters,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Scott_Peters_(politician),energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,
OK2,Markwayne Mullin,R,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Markwayne_Mullin,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,
CA36,Raul Ruiz,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Raul_Ruiz_(politician),"vice chair, environment and climate change",https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,
IN5,Susan W. Brooks,R,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Susan_Brooks,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,,,
KY2,Brett Guthrie,R,House,member,January,6th,2009,https://en.wikipedia.org/wiki/Brett_Guthrie,"ranking member, oversight and investigations",https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,
FL14,Kathy Castor,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Kathy_Castor,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,,,
TX26,Michael C. Burgess,R,House,member,January,7th,2003,https://en.wikipedia.org/wiki/Michael_C._Burgess,"ranking member, health",https://energycommerce.house.gov/subcommittees/health-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,,,
NH2,Ann Kuster,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Ann_McLane_Kuster,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,
VA9,H. Morgan Griffith,R,House,member,January,5th,2011,https://en.wikipedia.org/wiki/Morgan_Griffith,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,
MD3,John Sarbanes,D,House,member,January,4th,2007,https://en.wikipedia.org/wiki/John_Sarbanes,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,
MA4,Joseph Kennedy III,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Joe_Kennedy_III,"vice chair, oversight and investigations",https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,
SC3,Jeff Duncan,R,House,member,January,5th,2011,https://en.wikipedia.org/wiki/Jeff_Duncan_(politician),energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,environment and climate change,https://energycommerce.house.gov/subcommittees/environment-climate-change-116th-congress,oversight and investigations,https://energycommerce.house.gov/subcommittees/oversight-and-investigations-116th-congress,,
IL16,Adam Kinzinger,R,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Adam_Kinzinger,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
IA2,David Loebsack,D,House,member,January,4th,2007,https://en.wikipedia.org/wiki/Dave_Loebsack,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
PA18,Michael Doyle,D,House,member,January,3rd,2019,https://en.wikipedia.org/wiki/Mike_Doyle_(American_politician),energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
TX22,Pete Olson,R,House,member,January,6th,2009,https://en.wikipedia.org/wiki/Pete_Olson,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
MI7,Tim Walberg,R,House,member,January,5th,2011,https://en.wikipedia.org/wiki/Tim_Walberg,energy,https://energycommerce.house.gov/subcommittees/energy-116th-congress,,,,,,
CA18,Anna Eshoo,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Anna_Eshoo,"chair, health",https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,,,
FL12,Gus M. Bilirakis,R,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Gus_Bilirakis,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,,,
LA1,Steve Scalise,R,House,member,May,7th,2008,https://en.wikipedia.org/wiki/Steve_Scalise,none,,,,,,,
NY16,Eliot Engel,D,House,member,January,3rd,2013,https://en.wikipedia.org/wiki/Eliot_Engel,health,https://energycommerce.house.gov/subcommittees/health-116th-congress,,,,,,