state ,name,party,house/senate,Role,date served since_month,date served since_day,date served since_year,Wiki page,subcommittee 1,subcomittee 1 webpage,subcommittee 2,subcommittee 2 webpage,subcommittee 3,subcommittee 3 webpage
WY,John Barrasso,R,Senate,chair,June,25th,2007,https://en.wikipedia.org/wiki/John_Barrasso,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Superfund, Waste Management, and Regulatory Oversight",https://www.epw.senate.gov/public/index.cfm/superfund-waste-management-and-regulatory-oversight,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife
OK,James Inhofe,R,Senate,member,November,17th,1994,https://en.wikipedia.org/wiki/Jim_Inhofe,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Superfund, Waste Management, and Regulatory Oversight",https://www.epw.senate.gov/public/index.cfm/superfund-waste-management-and-regulatory-oversight,,
WV,Shelley Capito,R,Senate,member,January,6th,2015,https://en.wikipedia.org/wiki/Shelley_Moore_Capito,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,,
ND,Kevin Cramer,R,Senate,member,January,3rd,2019,https://en.wikipedia.org/wiki/Kevin_Cramer,"chair, Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,,
IN,Mike Braun,R,Senate,member,January,3rd,2019,https://en.wikipedia.org/wiki/Mike_Braun,"chair, Clean Air and Nuclear Safety",https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,,
SD,Mike Rounds,R,Senate,member,January,6th,2015,https://en.wikipedia.org/wiki/Mike_Rounds,"chair, Superfund, Waste Management, and Regulatory Oversight",https://www.epw.senate.gov/public/index.cfm/superfund-waste-management-and-regulatory-oversight,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,,
AK,Dan Sullivan ,R,Senate,member,January,6th,2015,https://en.wikipedia.org/wiki/Dan_Sullivan_(U.S._senator),Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,,
AR,John Boozman,R,Senate,member,January,5th,2011,https://en.wikipedia.org/wiki/John_Boozman,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,,
MS,Roger Wicker,R,Senate,member,December,31st,2007,https://en.wikipedia.org/wiki/Roger_Wicker,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,,
AL,Richard Shelby,R,Senate,member,January,6th,1987,https://en.wikipedia.org/wiki/Richard_Shelby,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Superfund, Waste Management, and Regulatory Oversight",https://www.epw.senate.gov/public/index.cfm/superfund-waste-management-and-regulatory-oversight,,
IA,Joni Ernst,R,Senate,member,January,6th,2015,https://en.wikipedia.org/wiki/Joni_Ernst,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Superfund, Waste Management, and Regulatory Oversight",https://www.epw.senate.gov/public/index.cfm/superfund-waste-management-and-regulatory-oversight,,
DE,Thomas Carper,D,Senate,ranking member,January,3rd,2001,https://en.wikipedia.org/wiki/Tom_Carper,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Superfund, Waste Management, and Regulatory Oversight",https://www.epw.senate.gov/public/index.cfm/superfund-waste-management-and-regulatory-oversight,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife
MD,Benjamin Cardin,D,Senate,member,January,4th,2007,https://en.wikipedia.org/wiki/Ben_Cardin,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,,
VT,Bernie Sanders,I,Senate,member,January,4th,2007,https://en.wikipedia.org/wiki/Bernie_Sanders,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,,
RI,Sheldon Whitehouse,D,Senate,member,January,4th,2007,https://en.wikipedia.org/wiki/Sheldon_Whitehouse,"ranking member, Clean Air and Nuclear Safety",https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,,
OR,Jeff Merkley,D,Senate,member,January,6th,2009,https://en.wikipedia.org/wiki/Jeff_Merkley,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,,
NJ,Cory Booker,D,Senate,member,October,31st,2013,https://en.wikipedia.org/wiki/Cory_Booker,"ranking member, Superfund, Waste Management, and Regulatory Oversight ",https://www.epw.senate.gov/public/index.cfm/superfund-waste-management-and-regulatory-oversight,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,,
MA,Edward Markey,D,Senate,member,July,16th,2013,https://en.wikipedia.org/wiki/Ed_Markey,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Superfund, Waste Management, and Regulatory Oversight",https://www.epw.senate.gov/public/index.cfm/superfund-waste-management-and-regulatory-oversight,,
IL,Tammy Duckworth,D,Senate,member,January,3rd,2017,https://en.wikipedia.org/wiki/Tammy_Duckworth,"ranking member, Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,,
MD,Chris Van Hollen,D,Senate,member,January,3rd,2017,https://en.wikipedia.org/wiki/Chris_Van_Hollen,"Fisheries, Water, and Wildlife",https://www.epw.senate.gov/public/index.cfm/fisheries-water-and-wildlife,,,,
NY,Kirsten Gillibrand,D,Senate,member,January,27th,2009,https://en.wikipedia.org/wiki/Kirsten_Gillibrand,Clean Air and Nuclear Safety,https://www.epw.senate.gov/public/index.cfm?p=clean-air-and-nuclear-safety,"Superfund, Waste Management, and Regulatory Oversight",https://www.epw.senate.gov/public/index.cfm/superfund-waste-management-and-regulatory-oversight,,