CD,/State,Num per 1000,
AK,,8409.621993,State
AL,,401.1627907,State
AR,,1719.049695,State
AZ,1,933.8842975,Congressional District
CA,18,546.2184874,Congressional District
CA,29,1203.571429,Congressional District
CA,36,1350.21097,Congressional District
CA,44,1004.424779,Congressional District
CA,52,598.6622074,Congressional District
CA,6,1082.608696,Congressional District
CA,9,1511.749347,Congressional District
CA,9,1511.749347,Congressional District
CO,1,1716.814159,Congressional District
DE,,1051.282051,State
DE,,1051.282051,State
FL,12,161.0284168,Congressional District
FL,14,206.2572422,Congressional District
FL,9,164.6757679,Congressional District
GA,1,556.903524,Congressional District
IA,,6661.764706,State
IA,2,8260.663507,Congressional District
IL,,2849.619207,State
IL,1,2039.370079,Congressional District
IL,15,4899.491094,Congressional District
IL,16,4047.756874,Congressional District
IL,2,1822.981366,Congressional District
IL,9,1157.142857,Congressional District
IN,,733.6803482,State
IN,5,414.381023,Congressional District
IN,8,1154.668567,Congressional District
KY,2,1282.626766,Congressional District
LA,1,1442.050278,Congressional District
MA,,410.2797362,State
MA,4,532.00883,Congressional District
MD,,797.4475093,State
MD,3,404.7619048,Congressional District
MI,12,6146.853147,Congressional District
MI,6,7115.254237,Congressional District
MI,7,8652.597403,Congressional District
MO,7,2666.064982,Congressional District
MS,,650.1944635,State
NC,1,302.4602026,Congressional District
NC,8,855.721393,Congressional District
ND,,188.1993896,State
NH,2,361.2403101,Congressional District
NJ,,1200.20448,State
NJ,6,1817.880795,Congressional District
NM,3,843.5207824,Congressional District
NY,16,3892.156863,Congressional District
NY,20,2837.628866,Congressional District
NY,9,26500,Congressional District
OH,5,3728.358209,Congressional District
OH,6,3318.38565,Congressional District
OK,,4430.740038,State
OK,2,5535.326087,Congressional District
OR,,175.4729289,State
OR,2,382.9401089,Congressional District
OR,5,103.1976744,Congressional District
PA,18,763.6363636,Congressional District
RI,,1296.625222,State
SC,3,1368.613139,Congressional District
SD,,1274.268105,State
TX,17,405.9139785,Congressional District
TX,22,195.5782313,Congressional District
TX,26,177.5631501,Congressional District
TX,33,18.9701897,Congressional District
VA,4,676.056338,Congressional District
VA,9,358.184765,Congressional District
VT,,2221.556886,State
WA,5,10294.11765,Congressional District
WV,,1946.582424,State
WV,1,1662.635425,Congressional District
WY,,1069.436851,State